DATE,DEATHS
3/1/20,0
3/2/20,0
3/3/20,0
3/4/20,0
3/5/20,0
3/6/20,0
3/7/20,0
3/8/20,0
3/9/20,0
3/10/20,0
3/11/20,1
3/12/20,1
3/13/20,2
3/14/20,5
3/15/20,10
3/16/20,21
3/17/20,35
3/18/20,60
3/19/20,92
3/20/20,147
3/21/20,199
3/22/20,287
3/23/20,387
3/24/20,511
3/25/20,668
3/26/20,903
3/27/20,1176
3/28/20,1528
3/29/20,1908
3/30/20,2323
3/31/20,2812
4/1/20,3447
4/2/20,4174
4/3/20,4932
4/4/20,5719
4/5/20,6630
4/6/20,7689
4/7/20,8963
4/8/20,9912
4/9/20,10964
4/10/20,11886
4/11/20,12809
4/12/20,13748
4/13/20,14766
4/14/20,15648
4/15/20,16434
4/16/20,17176
4/17/20,17652
4/18/20,18213
4/19/20,18740
4/20/20,19712
4/21/20,20384
4/22/20,20902
4/23/20,21559
4/24/20,22112
4/25/20,22547
4/26/20,22953
4/27/20,23435
4/28/20,23770
4/29/20,24216
4/30/20,24588
5/1/20,24957
5/2/20,25247
5/3/20,25531
5/4/20,25884
5/5/20,26166
5/6/20,26735
5/7/20,26964
5/8/20,27281
5/9/20,27502
5/10/20,27676
5/11/20,27874
5/12/20,28091
5/13/20,28295
5/14/20,28456
5/15/20,28721
5/16/20,28893
5/17/20,29019
5/18/20,29106
5/19/20,29307
5/20/20,29425
5/21/20,29515
5/22/20,29618
5/23/20,29807
5/24/20,29892
5/25/20,29991
5/26/20,30051
5/27/20,30237
5/28/20,30271
5/29/20,30378
5/30/20,30465
5/31/20,30525
6/1/20,30659
6/2/20,30712
6/3/20,30770
6/4/20,30899
6/5/20,30961
6/6/20,31010
6/7/20,31104
6/8/20,31159
6/9/20,31194
6/10/20,31274
6/11/20,31305
6/12/20,31459
6/13/20,31477
6/14/20,31504
6/15/20,31534
6/16/20,31589
6/17/20,31615
6/18/20,31639
6/19/20,31660
6/20/20,31739
6/21/20,31775
6/22/20,31809
6/23/20,31871
6/24/20,31898
6/25/20,31939
6/26/20,31957
6/27/20,31974
6/28/20,31979
6/29/20,31997
6/30/20,32068
7/1/20,32079
7/2/20,32100
7/3/20,32173
7/4/20,32193
7/5/20,32242
7/6/20,32255
7/7/20,32279
7/8/20,32287
7/9/20,32319
7/10/20,32367
7/11/20,32379
7/12/20,32379